task_id,task_type,display_name,product_line,affected_products,team,scheduled_start,scheduled_end,duration_minutes,mechanics_required,slack_hours,priority_score,shift,global_priority
57,Production,Task 57,Product C,"['Product D', 'Product E', 'Product C']",Mechanic Team 6,2025-09-16 14:30:00,2025-09-16 14:50:00,20,1,226.25,50286.0,2nd,169
89,Production,Task 89,Product A,"['Product D', 'Product E', 'Product C', 'Product A', 'Product B']",Mechanic Team 7,2025-09-16 23:00:00,2025-09-16 23:20:00,20,1,24.0,51546.0,3rd,170
69,Production,Task 69,Product C,"['Product D', 'Product E', 'Product C']",Mechanic Team 4,2025-09-16 23:00:00,2025-09-16 23:30:00,30,1,184.25,49409.0,3rd,171
81,Production,Task 81,Product A,"['Product D', 'Product E', 'Product C', 'Product A', 'Product B']",Mechanic Team 7,2025-09-16 23:30:00,2025-09-16 23:50:00,20,1,-6.75,50471.0,3rd,172
85,Production,Task 85,Product A,"['Product D', 'Product E', 'Product C', 'Product A', 'Product B']",Mechanic Team 7,2025-09-16 23:50:00,2025-09-17 00:30:00,40,1,9.916666666666666,50567.0,3rd,173
93,Production,Task 93,Product A,"['Product D', 'Product E', 'Product C', 'Product A', 'Product B']",Mechanic Team 7,2025-09-17 00:30:00,2025-09-17 01:10:00,40,1,21.0,51292.0,3rd,174
99,Production,Task 99,Product A,"['Product D', 'Product E', 'Product C', 'Product A', 'Product B']",Mechanic Team 7,2025-09-17 01:10:00,2025-09-17 02:00:00,50,1,22.833333333333332,51490.0,3rd,175
310,Late Part,Late Part 310 (Product C),Product C,['Product C'],Mechanic Team 3,2025-09-22 06:00:00,2025-09-22 07:30:00,90,1,86.0,-3000.0,1st,176
67,Production,Task 67,Product C,"['Product D', 'Product E', 'Product C']",Mechanic Team 3,2025-09-22 07:30:00,2025-09-22 08:20:00,50,1,87.0,49905.0,1st,177
167,Quality Inspection,QI for Task 67,Unknown,[],Quality Team 2,2025-09-22 08:20:00,2025-09-22 09:05:00,45,1,inf,-2000.0,1st,178
77,Production,Task 77,Product B,"['Product D', 'Product C', 'Product E', 'Product B']",Mechanic Team 2,2025-09-22 14:30:00,2025-09-22 15:20:00,50,1,27.25,50855.0,2nd,179
97,Production,Task 97,Product A,"['Product D', 'Product E', 'Product C', 'Product A', 'Product B']",Mechanic Team 7,2025-09-23 23:00:00,2025-09-23 23:20:00,20,1,-143.0,51646.0,3rd,180
